Country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness score,EPI.new,HLT.new,AIR.new,H2O.new,COE.new,BDH.new,Population (2020)
Myanmar,4.314039707183838,8.302172660827637,0.7795764207839966,61.54999923706055,0.6313943862915039,0.5113723874092102,0.6710634827613831,"4,394",19.4,21.6,16.9,30.9,23.1,21.8,54473253
Namibia,4.948962688446045,9.13161563873291,0.8079589605331421,57.224998474121094,0.6825278997421265,-0.1196495369076728,0.8487291932106018,"4,459",50.9,24.2,22.2,19.7,61.0,73.9,2548663
Nepal,5.474175930023193,8.28515625,0.7532763481140137,62.125,0.8442217707633972,0.1531936079263687,0.7604077458381653,"5,377",28.3,17.1,9.5,27.1,0.0,51.1,29225196
Netherlands,7.389636039733887,10.980937004089355,0.9289084076881408,71.625,0.8680934906005859,0.2243438959121704,0.4593518078327179,"7,415",62.6,83.3,76.8,100.0,60.4,80.1,17141544
New Zealand,6.974986553192139,10.681693077087402,0.9555888175964355,70.42500305175781,0.83067786693573,0.1867235004901886,0.2805244326591491,"7,200",56.7,84.9,93.2,80.4,100.0,76.6,4829021
Nicaragua,6.3922576904296875,8.664050102233887,0.8440418243408203,65.7249984741211,0.9139936566352844,-0.0011975866509601,0.5701919794082642,"6,165",37.7,37.1,38.2,42.9,73.1,60.1,6638075
Nigeria,4.4792656898498535,8.501598358154297,0.7415601015090942,55.04999923706055,0.7257328629493713,0.0500084795057773,0.911945104598999,"4,552",28.3,15.2,13.8,5.0,4.5,45.7,206984347
North Macedonia,5.166881561279297,9.73342514038086,0.8495093584060669,66.69999694824219,0.7230889797210693,0.0718865171074867,0.9372150897979736,"5,199",54.3,36.5,22.6,61.1,55.2,57.9,2083359
Norway,7.294604301452637,11.111295700073242,0.9265713095664978,71.55000305175781,0.9390228390693665,0.1845945715904235,0.3144420981407165,"7,365",59.3,92.2,92.4,100.0,63.3,71.2,5428594
Pakistan,4.486834526062012,8.562576293945312,0.6083956360816956,57.45000076293945,0.7639920711517334,0.0099234692752361,0.7427191734313965,"4,516",24.6,11.4,5.7,17.5,0.0,37.4,221612785
Panama,5.979382038116455,10.333454132080078,0.8910459280014038,69.0,0.8993285298347473,-0.1206607967615127,0.8868353366851807,"6,309",50.5,49.0,51.9,43.6,66.2,83.7,4326296
Paraguay,6.1376118659973145,9.508264541625977,0.8994913697242737,65.94999694824219,0.921780526638031,-0.0111561305820941,0.8392720222473145,"5,578",40.9,44.9,43.3,47.6,51.4,64.3,7147553
Peru,5.892068862915039,9.448805809020996,0.8227434754371643,70.0250015258789,0.764267086982727,-0.1775652021169662,0.8839914202690125,"5,559",39.8,43.1,41.5,43.1,54.5,54.5,33050211
Philippines,5.965057849884033,8.998964309692383,0.7781921029090881,62.04999923706055,0.9052754640579224,-0.0089724250137805,0.7211622595787048,"5,904",28.9,31.1,25.9,39.0,49.2,54.2,109830324
Poland,6.66626501083374,10.50880241394043,0.8864467740058899,69.2249984741211,0.8000186085700989,-0.2065873444080352,0.6670247316360474,"6,123",50.6,53.0,40.4,71.8,55.7,87.3,37839255
Portugal,5.952542781829834,10.487077713012695,0.8623441457748413,71.375,0.9032180905342102,-0.1370604187250137,0.892955482006073,"6,016",50.4,76.6,78.1,83.5,66.4,70.5,10191409
Romania,6.436973571777344,10.404129028320312,0.8303367495536804,67.17500305175781,0.8363665342330933,-0.1719697266817093,0.9414879083633424,"6,477",56.0,45.2,39.2,56.0,54.3,81.1,19214608
Russia,6.04407262802124,10.202866554260254,0.919851005077362,65.32499694824219,0.776063859462738,-0.0704376399517059,0.7665226459503174,"5,459",37.5,50.6,48.8,55.5,54.5,44.4,145945524
Saudi Arabia,6.38161039352417,10.780559539794922,0.9001045227050781,64.5999984741211,0.9024730324745178,-0.0272613149136304,0.4451315701007843,"6,523",37.9,42.4,32.8,59.3,51.3,29.3,34905942
Senegal,4.906819820404053,8.18017578125,0.6091886758804321,60.29999923706055,0.7584719657897949,0.0518758185207843,0.8542311787605286,"5,046",33.9,21.3,22.1,13.1,53.9,65.1,16816539
Serbia,6.245267391204834,9.89501667022705,0.8901060819625854,67.1500015258789,0.8503679037094116,0.2636013627052307,0.806221604347229,"6,178",43.9,41.6,29.4,65.6,53.1,46.7,8731081
Sierra Leone,2.560429573059082,7.401130676269531,0.5021677017211914,55.29999923706055,0.6595963835716248,0.1005361303687095,0.8618373870849609,"3,574",32.7,19.7,21.6,11.6,23.9,51.2,8004158
Singapore,6.586717128753662,11.571497917175291,0.8764089941978455,73.80000305175781,0.8787010908126831,0.0627389848232269,0.1449353843927383,"6,480",50.9,77.0,69.2,93.3,23.5,25.3,5858322
Slovakia,6.418503761291504,10.369296073913574,0.9511638879776,68.94999694824219,0.7415332198143005,0.0459558591246604,0.895546555519104,"6,391",60.0,59.0,50.9,71.9,52.3,82.7,5460109
Slovenia,6.723397731781006,10.6441650390625,0.9417567253112792,71.2249984741211,0.9303818345069884,0.1014806777238845,0.7622082233428955,"6,630",67.3,64.4,55.1,74.7,46.2,84.5,2078989
South Africa,5.598653793334961,9.496415138244627,0.9222387671470642,57.25,0.7035647034645081,-0.1454754471778869,0.8915786147117615,"5,194",37.2,28.1,22.2,24.7,0.0,54.7,59436725
South Korea,5.950013637542725,10.72598648071289,0.8100351095199585,73.92500305175781,0.7234799265861511,0.0034214202314615,0.747344434261322,"5,935",46.9,73.3,62.9,90.8,0.0,61.0,51276977
Spain,6.336902141571045,10.587491989135742,0.9338998794555664,72.4749984741211,0.7814088463783264,0.0012083104811608,0.6731119155883789,"6,476",56.6,78.1,74.0,96.9,63.0,85.8,46757980
Sri Lanka,4.103446960449219,9.502015113830566,0.8123739361763,67.19999694824219,0.7714300155639648,-0.0115098766982555,0.8485414981842041,"4,362",34.7,39.0,32.5,48.5,30.2,57.5,21428970
Sweden,7.431214332580566,10.9126615524292,0.949338436126709,72.2750015258789,0.9394619464874268,0.2340112179517746,0.2132363468408584,"7,384",72.7,93.1,94.0,98.6,66.5,68.8,10110233
Switzerland,6.883844375610352,11.184120178222656,0.8807874321937561,73.0999984741211,0.848361074924469,0.1281312257051468,0.2346200942993164,"7,512",65.9,88.4,84.3,100.0,55.2,62.5,8665615
Tajikistan,5.2868242263793945,8.269582748413086,0.882888913154602,62.29999923706055,0.8320024609565735,-0.0680640488862991,0.4989247322082519,"5,377",37.1,16.6,12.2,30.9,48.5,57.6,9573310
Tanzania,3.615845203399658,7.871555328369141,0.600180983543396,59.849998474121094,0.8561398983001709,0.1360416114330291,0.5844170451164246,"3,702",34.2,28.2,33.2,18.5,56.1,70.1,60012400
Thailand,6.00711727142334,9.777226448059082,0.8669951558113098,68.5250015258789,0.8806137442588806,0.3010835349559784,0.8679535388946533,"5,891",38.1,43.8,34.4,55.9,17.5,51.4,69830779
Togo,4.238982200622559,7.685194492340088,0.5789300799369812,57.70000076293945,0.6957224607467651,0.0069354786537587,0.7131811380386353,"4,112",34.0,18.2,21.0,5.2,32.0,59.2,8310934
Tunisia,4.260868072509766,9.265902519226074,0.7547398209571838,67.05000305175781,0.4741892516613006,-0.2308521568775177,0.9084365367889404,"4,516",40.7,43.2,43.3,52.6,45.1,26.4,11839918
Uganda,4.224533557891846,7.717090606689453,0.79334956407547,59.150001525878906,0.7106211185455322,0.0842528864741325,0.8350117206573486,"4,603",35.8,24.9,27.4,17.6,14.4,75.8,45974931
Ukraine,4.637436389923096,9.04932975769043,0.8630681037902832,64.67500305175781,0.8290343880653381,0.4275822341442108,0.8518630266189575,"5,084",49.6,43.6,35.9,55.2,59.9,61.7,43686577
United Arab Emirates,6.737605571746826,11.201817512512209,0.7977370619773865,66.44999694824219,0.9322956800460817,0.1708017140626907,0.3551158905029297,"6,576",52.4,49.4,41.7,67.2,25.7,80.3,9910892
United Kingdom,6.721779823303223,10.753742218017578,0.8634395003318787,70.4000015258789,0.857062578201294,0.3093941807746887,0.4260548055171966,"6,943",77.7,83.9,78.6,100.0,62.0,81.5,67948282
United States,6.6927900314331055,11.078596115112305,0.9002618193626404,65.7249984741211,0.7356398105621338,0.1905810534954071,0.7011275291442871,"6,977",51.1,76.8,77.0,86.1,54.9,60.6,331341050
Uruguay,6.6708526611328125,10.084120750427246,0.9048252105712892,67.5,0.8779686093330383,-0.0516682416200637,0.6313366889953613,"6,474",37.4,62.7,63.6,70.8,79.4,17.8,3475842
Uzbekistan,6.016238689422607,8.989866256713867,0.8789232969284058,65.5999984741211,0.9590192437171936,0.3089507520198822,0.6158444285392761,"6,063",38.2,26.5,16.7,52.1,51.0,33.8,33551824
Venezuela,5.9489922523498535,5.526723384857178,0.8993663191795349,63.875,0.7704167366027832,0.1283712387084961,0.7980164289474487,"4,925",46.4,42.9,46.7,46.8,58.2,71.5,28421581
Zambia,3.0821549892425537,8.082337379455566,0.6190710067749023,55.25,0.8325737714767456,0.1412297189235687,0.8240308165550232,"3,760",38.4,21.2,23.6,13.5,46.6,91.0,18468257
Zimbabwe,3.29621958732605,7.6701226234436035,0.6661719083786011,54.525001525878906,0.6519871354103088,-0.0695132836699485,0.7526320815086365,"2,995",46.2,21.9,23.9,16.9,45.5,83.7,14899771
